type	latitude	longitude	name
W	37.3372197	-121.8799503	pt1
W	37.3368273	-121.8794732	pt2
W	37.3366410	-121.8793271	pt3
W	37.3356624	-121.8785956	pt4
W	37.3356203	-121.8786016	pt5
W	37.3355819	-121.8786566	pt6
W	37.3355078	-121.8787525	pt7
W	37.3354636	-121.8788256	pt8
W	37.3353497	-121.8790641	pt9
W	37.3346205	-121.8805527	pt10
W	37.3346169	-121.8805890	pt11
W	37.3346170	-121.8806256	pt12
W	37.3346314	-121.8806645	pt13
W	37.3346442	-121.8806967	pt14
W	37.3346613	-121.8807222	pt15
W	37.3346858	-121.8807497	pt16

