type	latitude	longitude	name
W	37.3374049113	-121.879877774	1
W	37.3374049113	-121.879877661	2
W	37.3374048212	-121.879877548	3
W	37.3374048212	-121.879877548	4
W	37.3374048212	-121.879877548	5
W	37.3374047311	-121.879877435	6
W	37.3374047311	-121.879877435	7
W	37.337404641	-121.879877322	8
W	37.3374045509	-121.879877209	9
W	37.3374045509	-121.879877209	10
W	37.3374044608	-121.879877096	11
W	37.3374043707	-121.879877096	12
W	37.3374043707	-121.879876984	13
W	37.3374042806	-121.879876871	14
W	37.3374041905	-121.879876758	15
W	37.3374041004	-121.879876645	16
W	37.3374041004	-121.879876645	17
W	37.3374040103	-121.879876532	18
W	37.3374039202	-121.879876419	19
W	37.3374038301	-121.879876419	20
W	37.33740374	-121.879876307	21
W	37.33740374	-121.879876194	22
W	37.3374035598	-121.879876081	23
W	37.3374034697	-121.879875968	24
W	37.3374034697	-121.879875855	25
W	37.3374033796	-121.879875742	26
W	37.3374031994	-121.879875517	27
W	37.3374031092	-121.879875517	28
W	37.3374030191	-121.879875404	29
W	37.3374030191	-121.879875291	30
W	37.337402929	-121.879875178	31
W	37.337402929	-121.879875178	32
W	37.3374027488	-121.87987484	33
W	37.3374026587	-121.879874727	34
W	37.3374025686	-121.879874614	35
W	37.3374024785	-121.879874501	36
W	37.3374024785	-121.879874501	37
W	37.3374022082	-121.879874275	38
W	37.3374021181	-121.879874163	39
W	37.337402028	-121.87987405	40
W	37.3374019379	-121.879873937	41
W	37.3374018478	-121.879873711	42
W	37.3374017577	-121.879873598	43
W	37.3374015775	-121.879873485	44
W	37.3374014874	-121.879873373	45
W	37.3374013973	-121.87987326	46
W	37.3374011269	-121.879872808	47
W	37.3374010368	-121.879872696	48
W	37.3374009467	-121.879872583	49
W	37.3374008566	-121.879872357	50
W	37.3374007665	-121.879872244	51
W	37.3374005863	-121.879872131	52
W	37.3374004962	-121.879872018	53
W	37.3374004061	-121.879871906	54
W	37.337400316	-121.879871793	55
W	37.3374001358	-121.879871567	56
W	37.3373998655	-121.879871341	57
W	37.3373997754	-121.879871229	58
W	37.3373996853	-121.879871116	59
W	37.3373995051	-121.879871003	60
W	37.337399415	-121.879870777	61
W	37.3373993249	-121.879870664	62
W	37.3373992348	-121.879870552	63
W	37.3373990545	-121.879870326	64
W	37.3373989644	-121.879870213	65
W	37.3373988743	-121.8798701	66
W	37.3373986941	-121.879869987	67
W	37.3373985139	-121.879869874	68
W	37.3373983337	-121.879869762	69
W	37.3373982436	-121.879869649	70
W	37.3373981535	-121.879869423	71
W	37.3373979733	-121.87986931	72
W	37.3373977931	-121.879869197	73
W	37.337397703	-121.879869085	74
W	37.3373976129	-121.879868859	75
W	37.3373974327	-121.879868746	76
W	37.3373973426	-121.879868407	77
W	37.3373972525	-121.879868182	78
W	37.3373970722	-121.879868069	79
W	37.3373969821	-121.879867956	80
W	37.337396892	-121.879867843	81
W	37.3373967118	-121.879867618	82
W	37.3373966217	-121.879867505	83
W	37.3373965316	-121.879867392	84
W	37.3373964415	-121.879867279	85
W	37.3373962613	-121.879867053	86
W	37.3373960811	-121.879866941	87
W	37.337395991	-121.879866828	88
W	37.3373959009	-121.879866602	89
W	37.3373958108	-121.879866489	90
W	37.3373956306	-121.879866376	91
W	37.3373955405	-121.879866038	92
W	37.3373955405	-121.879866038	93
W	37.3373954504	-121.879865925	94
W	37.3373952702	-121.879865699	95
W	37.33739518	-121.879865586	96
W	37.3373949097	-121.879865248	97
W	37.3373948196	-121.879865135	98
W	37.3373947295	-121.879865022	99
W	37.3373945493	-121.879864909	100
W	37.3373943691	-121.879864571	101
W	37.3373940988	-121.879864458	102
W	37.3373940087	-121.879864345	103
W	37.3373939186	-121.879864119	104
W	37.3373938285	-121.879864007	105
W	37.3373934681	-121.879863781	106
W	37.3373932879	-121.879863668	107
W	37.3373931978	-121.879863442	108
W	37.3373930175	-121.87986333	109
W	37.3373929274	-121.879863104	110
W	37.3373929274	-121.879863104	111
W	37.3373926571	-121.879862765	112
W	37.337392567	-121.87986254	113
W	37.3373923868	-121.879862427	114
W	37.3373922967	-121.879862201	115
W	37.3373920264	-121.87986175	116
W	37.3373919363	-121.879861637	117
W	37.3373917561	-121.879861524	118
W	37.337391666	-121.879861298	119
W	37.3373914858	-121.879861073	120
W	37.3373912155	-121.879860734	121
W	37.3373911253	-121.879860621	122
W	37.3373909451	-121.879860508	123
W	37.337390855	-121.879860283	124
W	37.3373906748	-121.879860057	125
W	37.3373904045	-121.879859719	126
W	37.3373902243	-121.879859606	127
W	37.3373900441	-121.87985938	128
W	37.3373898639	-121.879859154	129
W	37.3373895936	-121.879858816	130
W	37.3373894134	-121.87985859	131
W	37.3373892332	-121.879858364	132
W	37.3373890529	-121.879858139	133
W	37.3373888727	-121.879858026	134
W	37.3373886024	-121.879857574	135
W	37.3373885123	-121.879857462	136
W	37.3373883321	-121.879857236	137
W	37.3373881519	-121.87985701	138
W	37.3373879717	-121.879856785	139
W	37.3373877915	-121.879856559	140
W	37.3373876113	-121.879856446	141
W	37.3373874311	-121.87985622	142
W	37.3373872509	-121.879855995	143
W	37.3373870706	-121.879855769	144
W	37.3373867102	-121.879855205	145
W	37.33738653	-121.879854979	146
W	37.3373863498	-121.879854753	147
W	37.3373861696	-121.879854528	148
W	37.3373859894	-121.879854302	149
W	37.3373857191	-121.879853963	150
W	37.337385629	-121.879853851	151
W	37.3373854488	-121.879853625	152
W	37.3373852686	-121.879853399	153
W	37.3373850883	-121.879853174	154
W	37.3373847279	-121.879852722	155
W	37.3373845477	-121.879852497	156
W	37.3373843675	-121.879852271	157
W	37.3373841873	-121.879852045	158
W	37.3373840071	-121.879851819	159
W	37.3373836467	-121.879851481	160
W	37.3373833764	-121.879851142	161
W	37.337383106	-121.879850804	162
W	37.3373830159	-121.879850691	163
W	37.3373825654	-121.87985024	164
W	37.3373824753	-121.879850127	165
W	37.3373822951	-121.879849901	166
W	37.3373821149	-121.879849675	167
W	37.3373819347	-121.87984945	168
W	37.3373817545	-121.879849224	169
W	37.3373815743	-121.879848886	170
W	37.3373813941	-121.87984866	171
W	37.3373812138	-121.879848434	172
W	37.3373810336	-121.879848208	173
W	37.3373806732	-121.879847757	174
W	37.337380493	-121.879847531	175
W	37.3373803128	-121.879847306	176
W	37.3373801326	-121.87984708	177
W	37.3373799524	-121.879846854	178
W	37.3373797722	-121.879846629	179
W	37.3373796821	-121.879846516	180
W	37.3373795019	-121.87984629	181
W	37.3373793217	-121.879846064	182
W	37.3373790513	-121.879845839	183
W	37.3373786909	-121.8798455	184
W	37.3373785107	-121.879845275	185
W	37.3373783305	-121.879845049	186
W	37.3373781503	-121.879844936	187
W	37.3373780602	-121.87984471	188
W	37.3373777899	-121.879844485	189
W	37.3373776998	-121.879844597	190
W	37.3373775196	-121.879844372	191
W	37.3373773394	-121.879844259	192
W	37.3373771592	-121.879844033	193
W	37.3373767987	-121.879843582	194
W	37.3373766185	-121.879843469	195
W	37.3373765284	-121.879843243	196
W	37.3373763482	-121.879843131	197
W	37.337376168	-121.879842905	198
W	37.3373759878	-121.879842453	199
W	37.3373758977	-121.879842341	200
W	37.3373758076	-121.879842228	201
W	37.3373756274	-121.879842002	202
W	37.3373754472	-121.879841776	203
W	37.3373751769	-121.879841438	204
