type	latitude	longitude	name
W	37.3371389	-121.8799411	1
W	37.3371294	-121.8798945	2
W	37.3371164	-121.8798530	3
W	37.3371051	-121.8798208	4
W	37.3370920	-121.8797926	5
W	37.3370752	-121.8797660	6
W	37.3370547	-121.8797456	7
W	37.3370391	-121.8797283	8
W	37.3370216	-121.8797111	9
W	37.3370035	-121.8796868	10
W	37.3369861	-121.8796688	11
W	37.3369643	-121.8796523	12
W	37.3369319	-121.8796241	13
W	37.3369051	-121.8796045	14
W	37.3368764	-121.8795815	15
W	37.3368552	-121.8795497	16
W	37.3368368	-121.8795222	17
W	37.3368183	-121.8794973	18
W	37.3367986	-121.8794759	19
W	37.3367795	-121.8794519	20
W	37.3367576	-121.8794321	21
W	37.3367378	-121.8794098	22
W	37.3367194	-121.8793866	23
W	37.3366887	-121.8793600	24
W	37.3366634	-121.8793428	25
W	37.3366416	-121.8793248	26
W	37.3366158	-121.8793079	27
W	37.3365918	-121.8792884	28
W	37.3365689	-121.8792710	29
W	37.3365422	-121.8792542	30
W	37.3365108	-121.8792301	31
W	37.3364809	-121.8792086	32
W	37.3364596	-121.8791899	33
W	37.3364372	-121.8791751	34
W	37.3364148	-121.8791584	35
W	37.3363898	-121.8791416	36
W	37.3363664	-121.8791240	37
W	37.3363371	-121.8791046	38
W	37.3363073	-121.8790845	39
W	37.3362769	-121.8790630	40
W	37.3362449	-121.8790402	41
W	37.3362182	-121.8790201	42
W	37.3361913	-121.8789994	43
W	37.3361647	-121.8789793	44
W	37.3361375	-121.8789592	45
W	37.3361124	-121.8789337	46
W	37.3360857	-121.8789089	47
W	37.3360566	-121.8788861	48
W	37.3360320	-121.8788687	49
W	37.3359862	-121.8788405	50
W	37.3359131	-121.8787862	51
W	37.3356773	-121.8786110	52
W	37.3356232	-121.8786012	53
W	37.3355738	-121.8786594	54
W	37.3354922	-121.8787552	55
W	37.3354307	-121.8788830	56
W	37.3353230	-121.8791150	57
W	37.3352462	-121.8792357	58
W	37.3351809	-121.8793751	59
W	37.3350760	-121.8795899	60
W	37.3349478	-121.8798676	61
W	37.3348177	-121.8801312	62
W	37.3346255	-121.8805445	63
W	37.3346175	-121.8806136	64
W	37.3346441	-121.8806773	65
W	37.3346905	-121.8807269	66
W	37.3347406	-121.8808228	67
W	37.3350120	-121.8810607	68
W	37.3353245	-121.8813110	69
W	37.3355399	-121.8814786	70
W	37.3357633	-121.8816590	71
W	37.3360315	-121.8817824	72
W	37.3362543	-121.8819158	73

