type	latitude	longitude	name
W	37.3372197	-121.8799503	pt1
W	37.3368241	-121.8794900	pt2
W	37.3366410	-121.8793271	pt3
W	37.3356408	-121.8785828	pt4
W	37.3354664	-121.8788038	pt5
W	37.3353235	-121.8791216	pt6
W	37.3346059	-121.8806094	pt7
W	37.3346411	-121.8806805	pt8
W	37.3346923	-121.8807167	pt9
W	37.3347179	-121.8807905	pt10
W	37.3347925	-121.8808964	pt11
W	37.3359974	-121.8818312	pt12
W	37.3360583	-121.8818621	pt13
W	37.3362086	-121.8818902	pt14
W	37.3362982	-121.8818768	pt15
W	37.3366965	-121.8810536	pt16
W	37.3372160	-121.8799646	pt17

