type	latitude	longitude	name
W	37.3371389	-121.8799411	1
W	37.3372072637	-121.879855481	2
W	37.3371389	-121.8799411	3
W	37.3372072637	-121.879855481	4
W	37.3371389	-121.8799411	5
W	37.3372072637	-121.879855481	6
W	37.3371389	-121.8799411	7
W	37.3372072637	-121.879855481	8
W	37.3371389	-121.8799411	9
W	37.3372072637	-121.879855481	10
W	37.3371389	-121.8799411	11
W	37.3372072637	-121.879855481	12
W	37.3371389	-121.8799411	13
W	37.3372072637	-121.879855481	14
W	37.3371389	-121.8799411	15
W	37.3372072637	-121.879855481	16
W	37.3371389	-121.8799411	17
W	37.3372072637	-121.879855481	18
W	37.3371389	-121.8799411	19
W	37.3372072637	-121.879855481	20
W	37.3371389	-121.8799411	21
W	37.3372072637	-121.879855481	22
W	37.3371389	-121.8799411	23
W	37.3372072637	-121.879855481	24
W	37.3371389	-121.8799411	25
W	37.3372072637	-121.879855481	26
W	37.3371389	-121.8799411	27
W	37.3372072637	-121.879855481	28
W	37.3371389	-121.8799411	29
W	37.3372072637	-121.879855481	30
W	37.3371389	-121.8799411	31
W	37.3372072637	-121.879855481	32
W	37.3371389	-121.8799411	33
W	37.3372072637	-121.879855481	34
W	37.3371389	-121.8799411	35
W	37.3372072637	-121.879855481	36
W	37.3371389	-121.8799411	37
W	37.3372072637	-121.879855481	38
W	37.3371389	-121.8799411	39
W	37.3372072637	-121.879855481	40
W	37.3371389	-121.8799411	41
W	37.3372072637	-121.879855481	42
W	37.3371389	-121.8799411	43
W	37.3372072637	-121.879855481	44
W	37.3371389	-121.8799411	45
W	37.3372072637	-121.879855481	46
W	37.3371389	-121.8799411	47
W	37.3372072637	-121.879855481	48
W	37.3371389	-121.8799411	49
W	37.3372072637	-121.879855481	50
W	37.3371389	-121.8799411	51
W	37.3372072637	-121.879855481	52
W	37.3371389	-121.8799411	53
W	37.3372072637	-121.879855481	54
W	37.3371389	-121.8799411	55
W	37.3372072637	-121.879855481	56
W	37.3371389	-121.8799411	57
W	37.3372072637	-121.879855481	58
W	37.3371389	-121.8799411	59
W	37.3372072637	-121.879855481	60
W	37.3371389	-121.8799411	61
W	37.3372072637	-121.879855481	62
W	37.3371389	-121.8799411	63
W	37.3372072637	-121.879855481	64
W	37.3371389	-121.8799411	65
W	37.3372072637	-121.879855481	66
W	37.3371389	-121.8799411	67
W	37.3372072637	-121.879855481	68
W	37.3371389	-121.8799411	69
W	37.3372072637	-121.879855481	70
W	37.3371389	-121.8799411	71
W	37.3372072637	-121.879855481	72
W	37.3371389	-121.8799411	73
W	37.3372072637	-121.879855481	74
W	37.3371389	-121.8799411	75
W	37.3372072637	-121.879855481	76
W	37.3371389	-121.8799411	77
W	37.3372072637	-121.879855481	78
W	37.3371389	-121.8799411	79
W	37.3372072637	-121.879855481	80
W	37.3371389	-121.8799411	81
W	37.3372072637	-121.879855481	82
W	37.3371389	-121.8799411	83
W	37.3372072637	-121.879855481	84
W	37.3371389	-121.8799411	85
W	37.3372072637	-121.879855481	86
W	37.3371389	-121.8799411	87
W	37.3372072637	-121.879855481	88
W	37.3371389	-121.8799411	89
W	37.3372072637	-121.879855481	90
W	37.3371389	-121.8799411	91
W	37.3372072637	-121.879855481	92
W	37.3371389	-121.8799411	93
W	37.3372072637	-121.879855481	94
W	37.3371389	-121.8799411	95
W	37.3372072637	-121.879855481	96
W	37.3371389	-121.8799411	97
W	37.3372072637	-121.879855481	98
W	37.3371389	-121.8799411	99
W	37.3372072637	-121.879855481	100
W	37.3371389	-121.8799411	101
W	37.3372072637	-121.879855481	102
W	37.3371389	-121.8799411	103
W	37.3372072637	-121.879855481	104
W	37.3371389	-121.8799411	105
W	37.3372072637	-121.879855481	106
W	37.3371389	-121.8799411	107
W	37.3372072637	-121.879855481	108
W	37.3371389	-121.8799411	109
W	37.3372072637	-121.879855481	110
W	37.3371389	-121.8799411	111
W	37.3372072637	-121.879855481	112
W	37.3371389	-121.8799411	113
W	37.3372072637	-121.879855481	114
W	37.3371389	-121.8799411	115
W	37.3372072637	-121.879855481	116
W	37.3371389	-121.8799411	117
W	37.3372072637	-121.879855481	118
W	37.3371389	-121.8799411	119
W	37.3372072637	-121.879855481	120
W	37.3371389	-121.8799411	121
W	37.3372072637	-121.879855481	122
W	37.3371389	-121.8799411	123
W	37.3372072637	-121.879855481	124
W	37.3371389	-121.8799411	125
W	37.3372072637	-121.879855481	126
W	37.3371389	-121.8799411	127
W	37.3372072637	-121.879855481	128
W	37.3371389	-121.8799411	129
W	37.3372072637	-121.879855481	130
W	37.3371389	-121.8799411	131
W	37.3372072637	-121.879855481	132
W	37.3371389	-121.8799411	133
W	37.3372072637	-121.879855481	134
W	37.3371389	-121.8799411	135
W	37.3372072637	-121.879855481	136
W	37.3371389	-121.8799411	137
W	37.3372072637	-121.879855481	138
W	37.3371389	-121.8799411	139
W	37.3372072637	-121.879855481	140
W	37.3371389	-121.8799411	141
W	37.3372072637	-121.879855481	142
W	37.3371389	-121.8799411	143
W	37.3372072637	-121.879855481	144
W	37.3371389	-121.8799411	145
W	37.3372072637	-121.879855481	146
W	37.3371389	-121.8799411	147
W	37.3372072637	-121.879855481	148
W	37.3371389	-121.8799411	149
W	37.3372072637	-121.879855481	150
W	37.3371389	-121.8799411	151
W	37.3372072637	-121.879855481	152
W	37.3371389	-121.8799411	153
W	37.3372072637	-121.879855481	154
W	37.3371389	-121.8799411	155
W	37.3372072637	-121.879855481	156
W	37.3371389	-121.8799411	157
W	37.3372072637	-121.879855481	158
W	37.3371389	-121.8799411	159
W	37.3372072637	-121.879855481	160
W	37.3371389	-121.8799411	161
W	37.3372072637	-121.879855481	162
W	37.3371389	-121.8799411	163
W	37.3372072637	-121.879855481	164
W	37.3371389	-121.8799411	165
W	37.3372072637	-121.879855481	166
W	37.3371389	-121.8799411	167
W	37.3372072637	-121.879855481	168
W	37.3371389	-121.8799411	169
W	37.3372072637	-121.879855481	170
W	37.3371389	-121.8799411	171
W	37.3372072637	-121.879855481	172
W	37.3371389	-121.8799411	173
W	37.3372072637	-121.879855481	174
W	37.3371389	-121.8799411	175
W	37.3372072637	-121.879855481	176
W	37.3371389	-121.8799411	177
W	37.3372072637	-121.879855481	178
W	37.3371389	-121.8799411	179
W	37.3372072637	-121.879855481	180
W	37.3371389	-121.8799411	181
W	37.3372072637	-121.879855481	182
W	37.3371389	-121.8799411	183
W	37.3372072637	-121.879855481	184
W	37.3371389	-121.8799411	185
W	37.3372072637	-121.879855481	186
W	37.3371389	-121.8799411	187
W	37.3372072637	-121.879855481	188
W	37.3371389	-121.8799411	189
W	37.3372072637	-121.879855481	190
W	37.3371389	-121.8799411	191
W	37.3372072637	-121.879855481	192
W	37.3371389	-121.8799411	193
W	37.3372072637	-121.879855481	194
W	37.3371389	-121.8799411	195
W	37.3372072637	-121.879855481	196
W	37.3371389	-121.8799411	197
W	37.3372072637	-121.879855481	198
W	37.3371389	-121.8799411	199
W	37.3372072637	-121.879855481	200
W	37.3371389	-121.8799411	201
W	37.3372072637	-121.879855481	202
W	37.3371389	-121.8799411	203
W	37.3372072637	-121.879855481	204
W	37.3371389	-121.8799411	205
W	37.3372072637	-121.879855481	206
W	37.3371389	-121.8799411	207
W	37.3372072637	-121.879855481	208
W	37.3371389	-121.8799411	209
W	37.3372072637	-121.879855481	210
W	37.3371389	-121.8799411	211
W	37.3372072637	-121.879855481	212
W	37.3371389	-121.8799411	213
W	37.3372072637	-121.879855481	214
W	37.3371389	-121.8799411	215
W	37.3372072637	-121.879855481	216
W	37.3371389	-121.8799411	217
W	37.3372072637	-121.879855481	218
W	37.3371389	-121.8799411	219
W	37.3372072637	-121.879855481	220
W	37.3371389	-121.8799411	221
W	37.3372072637	-121.879855481	222
W	37.3371389	-121.8799411	223
W	37.3372072637	-121.879855481	224
W	37.3371389	-121.8799411	225
W	37.3372072637	-121.879855481	226
W	37.3371389	-121.8799411	227
W	37.3372072637	-121.879855481	228
W	37.3371389	-121.8799411	229
W	37.3372072637	-121.879855481	230
W	37.3371389	-121.8799411	231
W	37.3372072637	-121.879855481	232
W	37.3371389	-121.8799411	233
W	37.3372072637	-121.879855481	234
W	37.3371389	-121.8799411	235
W	37.3372072637	-121.879855481	236
W	37.3371389	-121.8799411	237
W	37.3372072637	-121.879855481	238
W	37.3371389	-121.8799411	239
W	37.3372072637	-121.879855481	240
W	37.3371389	-121.8799411	241
W	37.3372072637	-121.879855481	242
W	37.3371389	-121.8799411	243
W	37.3372072637	-121.879855481	244
W	37.3371389	-121.8799411	245
W	37.3372072637	-121.879855481	246
W	37.3371389	-121.8799411	247
W	37.3372072637	-121.879855481	248
W	37.3371389	-121.8799411	249
W	37.3372072637	-121.879855481	250
W	37.3371389	-121.8799411	251
W	37.3372072637	-121.879855481	252
W	37.3371389	-121.8799411	253
W	37.3372072637	-121.879855481	254
W	37.3371389	-121.8799411	255
W	37.3372072637	-121.879855481	256
W	37.3371389	-121.8799411	257
W	37.3372072637	-121.879855481	258
W	37.3371389	-121.8799411	259
W	37.3372072637	-121.879855481	260
W	37.3371389	-121.8799411	261
W	37.3372072637	-121.879855481	262
W	37.3371389	-121.8799411	263
W	37.3372072637	-121.879855481	264
W	37.3371389	-121.8799411	265
W	37.3372072637	-121.879855481	266
W	37.3371389	-121.8799411	267
W	37.3372072637	-121.879855481	268
W	37.3371389	-121.8799411	269
W	37.3372072637	-121.879855481	270
W	37.3371389	-121.8799411	271
W	37.3372072637	-121.879855481	272
W	37.3371389	-121.8799411	273
W	37.3372072637	-121.879855481	274
W	37.3371389	-121.8799411	275
W	37.3372072637	-121.879855481	276
W	37.3371389	-121.8799411	277
W	37.3372072637	-121.879855481	278
W	37.3371389	-121.8799411	279
W	37.3372072637	-121.879855481	280
W	37.3371389	-121.8799411	281
W	37.3372072637	-121.879855481	282
W	37.3371389	-121.8799411	283
W	37.3372072637	-121.879855481	284
W	37.3371389	-121.8799411	285
W	37.3372072637	-121.879855481	286
W	37.3371389	-121.8799411	287
